nombre,descripcion,lat,lng,tipo,poligono_coords,fecha_creacion,actividad_entrada,actividad_salida,prioridad_alerta,notas,status_entrada,status_salida
CCASETA_PORTEZUELO_LA_BARCA_JAL,"Atotonilco El Alto-La Barca, La Barca, Jalisco, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CEDIS_SORIANA_SALINAS_VICTORIA_NL,"Calle Lázaro Cárdenas, Emiliano Zapata (La Zapatita), Salinas Victoria, Nuevo León 65515, Mexico",25.899817,-100.253918,cliente,"[[25.9021413009, -100.251351563], [25.900182125, -100.25036451], [25.8958583113, -100.257466999], [25.8987633911, -100.259054867], [25.9021413009, -100.251351563]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
CIO_GUADALUPE_CASA_CHAPA_GUADALUPE_NL,"Calle Lateral, Zona Ind Kalos Guadalupe Aeropuerto, Guadalupe, Nuevo León 67133, Mexico",25.68717,-100.142211,cliente,"[[25.6886917377, -100.143236874], [25.6878409132, -100.140098689], [25.6850031761, -100.140560029], [25.6856219729, -100.14392352], [25.6886917377, -100.143236874]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COCA_COLA_SAN_ISIDRO_ZAPOPAN_JAL,"Boulevard Bosque De San Isidro, San José Del Bajío, Zapopan, Jalisco 45140, Mexico",20.744714,-103.385101,cliente,"[[20.7456927197, -103.386009304], [20.7450355438, -103.383262722], [20.7432345662, -103.383777706], [20.7439168332, -103.386443822], [20.7456927197, -103.386009304]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COCACOLA_SALTILLO_COAH,"Calzada Francisco I. Madero 1425, Saltillo Centro Sur, Saltillo, Coahuila De Zaragoza 25000, Mexico",25.427339,-101.016686,cliente,"[[25.428058905, -101.016041633], [25.427511448, -101.016186473], [25.4268840496, -101.01635277], [25.4266030516, -101.016637084], [25.4260895018, -101.016725597], [25.4262881392, -101.017691192], [25.4273927513, -101.016816792], [25.4275647404, -101.01683825], [25.4277827544, -101.016961631], [25.4278433138, -101.017034051], [25.427993501, -101.016902623], [25.428058905, -101.016041633]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COCACOLA_TQP_JAL,"Calle Metalúrgica 2691, Álamo Industrial, Tlaquepaque, Jalisco 45593, Mexico",20.622997,-103.3266,cliente,"[[20.6226091556, -103.327593864], [20.6225112525, -103.327210308], [20.6224961905, -103.327011825], [20.6224961905, -103.326757015], [20.6225639696, -103.326349319], [20.6226769347, -103.325995268], [20.6228401063, -103.325662674], [20.6230158293, -103.325445415], [20.6232216761, -103.32525766], [20.6238116012, -103.326174976], [20.6235304457, -103.326601447], [20.6235204044, -103.326856257], [20.6235229147, -103.327162029], [20.6235254251, -103.327328326], [20.6226091556, -103.327593864]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COCACOLA_UNIVERSIDAD_MTY_NL,"Avenida Alfonso Reyes, Regina, Monterrey, Nuevo León 64290, Mexico",25.706816,-100.313778,cliente,"[[25.7070506527, -100.314154243], [25.7064948026, -100.314433192], [25.7064847115, -100.313066028], [25.7069994771, -100.313082121], [25.7070506527, -100.314154243]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COMERCIAL_AUTOMOTRIZ_MEZA_TQP_JAL,"Calle Españoles 50, La Duraznera, Tlaquepaque, Jalisco 45580, Mexico",20.596015,-103.323253,cliente,"[[20.5965410084, -103.324211134], [20.5966364174, -103.322258486], [20.5952404269, -103.322011722], [20.5951148876, -103.323572768], [20.5965410084, -103.324211134]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COMERCIALIZADORA_BERMEO_IZTAPALAPA_CDMX,"12 De Julio De 1859 1274, Leyes De Reforma 3Ra Sección, Iztapalapa, Ciudad De México 09310, Mexico",19.379564,-99.074579,cliente,"[[19.3796599918, -99.0747124445], [19.3795967359, -99.0743449819], [19.3794196192, -99.0743691217], [19.3794854054, -99.0747553598], [19.3796599918, -99.0747124445]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COMERCIALIZADORA_DE_BOLSAS _MTY_NL,"Privada Agustín Lara 214, Ladrillera, Monterrey, Nuevo León 64830, Mexico",25.659608,-100.278423,cliente,"[[25.6596584431, -100.278622947], [25.6596729493, -100.278134785], [25.6595278875, -100.278113328], [25.6595206344, -100.278622947], [25.6596584431, -100.278622947]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COMERCIALIZADORA_DE_LLANTAS_MM_TLAJOMULCO_JAL,"Carretera Guadalajara-Chapala, Tlajomulco De Zúñiga, Jalisco, Mexico",20.495947,-103.276017,cliente,"[[20.4956306466, -103.276166359], [20.4961934281, -103.276480177], [20.4963868838, -103.27576671], [20.4958944507, -103.275506535], [20.4956306466, -103.276166359]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
COMERCIALIZADORA_MERC-IZTAPALAPA_CDMX,"Calle 4, Central De Abastos, Iztapalapa, Ciudad De México 09040, Mexico",19.375283,-99.086059,cliente,"[[19.3762327911, -99.0869052331], [19.374785459, -99.0848452966], [19.3744919425, -99.0848452966], [19.3746741252, -99.0867925803], [19.3762327911, -99.0869052331]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
CONTEYOR_ZAPOPAN_JAL,"Circuito San Eduardo 92, San Juan De Ocotán, Zapopan, Jalisco 45019, Mexico",20.700303,-103.456447,cliente,"[[20.7004596582, -103.45652763], [20.7004722035, -103.456307689], [20.7000582099, -103.456334511], [20.7000657371, -103.456538359], [20.7004596582, -103.45652763]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
CORPORATIVO_COMERCIAL_LOS_ANICETOS_ECATEPEC_EDOMEX,"Calle Central De Abastos Ecatepec, Barrio Santa Cruz Venta De Carpio, Ecatepec De Morelos, México 55065, Mexico",,,cliente,,,Entrega en curso,Tránsito,,,Descargando,En Ruta
COSTCO_SAN_LUIS_POTOSI_SLP,"Calle Parque Nacional Fray Diego 216, Garita De Jalisco, San Luis Potosí 78294, Mexico",22.138693,-101.005512,cliente,"[[22.1383523106, -101.007050559], [22.1398330454, -101.005441233], [22.1396641033, -101.004593655], [22.1390678354, -101.004840419], [22.1388591411, -101.004454181], [22.1367224906, -101.005151555], [22.1383523106, -101.007050559]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,media,,Descargando,En Ruta
CTRO_DIST_SAMS_CLUB_CHALCO_EDOMEX,"Calle Guadalupe Victoria 97, San Gregorio Cuautzingo, Chalco, México 56640, Mexico",19.250897,-98.866505,cliente,"[[19.2518575402, -98.8655513069], [19.2511282605, -98.865744426], [19.2523184027, -98.8705080292], [19.2497507234, -98.8711463949], [19.2480186567, -98.8639956257], [19.2513460319, -98.8630353949], [19.2518575402, -98.8655513069]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
CUMMINS_MERITOR:ZUAZUA_NL,"Calle Texas, General Zuazua, Nuevo León, Mexico",25.887075,-100.237999,cliente,"[[25.8879431231, -100.238316103], [25.8869344645, -100.236658498], [25.8857954904, -100.237575813], [25.8867607234, -100.23912613], [25.8879431231, -100.238316103]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
DE_GASERA_GMU_A_PENSION_JACARANDAS,,,,pension,,,Esperando asignación,Saliendo de pensión,,,Disponible,Disponible
DEPOSITO_EL_SECRETO_ZAPOPAN_JAL,"Calle Tuxpan 3720, Residencial Flores Del Valle, Zapopan, Jalisco 45138, Mexico",20.746301,-103.443159,cliente,"[[20.7464069702, -103.442974859], [20.7461235334, -103.442990953], [20.7461962739, -103.443433517], [20.7463718542, -103.443420106], [20.7464069702, -103.442974859]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
DESAMEX_TOLUCA_EDOMEX,"Calle Niños Héroes, San Miguel Totoltepec, Toluca, México 50225, Mexico",19.338899,-99.580734,cliente,"[[19.3393001503, -99.5798827133], [19.3385611367, -99.5789922199], [19.3382245301, -99.5824308119], [19.3391080844, -99.5824806226], [19.3393001503, -99.5798827133]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
DIMNSA_GUADALAJARA_JAL,"Calle Río Oro, El Rosario, Guadalajara, Jalisco 44890, Mexico",20.638956,-103.328154,cliente,"[[20.6391635425, -103.328636286], [20.6395199708, -103.32798451], [20.6386565092, -103.327421246], [20.6382749781, -103.328091798], [20.6391635425, -103.328636286]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
DIMNSA_MEXICO_CUAUTITLAN_EDOMEX,"Calle Valentín Gómez Farías 1, Loma Bonita, Cuautitlán, México 54879, Mexico",19.649346,-99.180358,cliente,"[[19.6495532501, -99.1799875583], [19.6496643948, -99.1808351364], [19.6490480461, -99.1809156026], [19.6489116408, -99.1800626602], [19.6495532501, -99.1799875583]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
DIPRODESA_CARMEN_NL,"Mex-53, Villa Paseo Del Carmen, Carmen, Nuevo León 66551, Mexico",25.920733,-100.37408,cliente,"[[25.9218644791, -100.373864583], [25.921027389, -100.372354499], [25.9191312495, -100.374438576], [25.9197777738, -100.375878922], [25.9218644791, -100.373864583]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
DISTRIBUIDORA_TEXTIL_MB_SANTA_ROSA_PUEBLA,"Privada Santa Rita 117, Santa Rosa, Puebla 72228, Mexico",19.083518,-98.164674,cliente,"[[19.0837123483, -98.1647557418], [19.0833625456, -98.1643802325], [19.0832358053, -98.1645304362], [19.0835653299, -98.1649488608], [19.0837123483, -98.1647557418]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
EDSA_PROMOTORES_TEPOTZOTLAN_EDOMEX,"Avenida De Las Torres, Barrio Texcacoa, Tepotzotlán, México 54605, Mexico",19.708614,-99.209502,cliente,"[[19.7084105801, -99.2089403142], [19.7084307808, -99.2095143069], [19.708496433, -99.2100856174], [19.7085343093, -99.2101070751], [19.7090696267, -99.2100453843], [19.7089458978, -99.2088839878], [19.7084105801, -99.2089403142]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
EL_FRESNO_CHILES_SECOS_IZTAPALAPA_EDOMEX,"Tamemes 40, Central De Abastos, Iztapalapa, Ciudad De México 09040, Mexico",19.381138,-99.08558,cliente,"[[19.3812627996, -99.0857549983], [19.3812324371, -99.0853097516], [19.3809617041, -99.0853177983], [19.380971825, -99.0857630449], [19.3812627996, -99.0857549983]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
ELAM_FAW_VER,"Calle Paseo De Cosamaloapan 447, Tejería Centro, Veracruz, Veracruz De Ignacio De La Llave 91697, Mexico",19.166492,-96.216776,agencia,"[[19.1667918271, -96.2168206598], [19.1665866113, -96.2164075996], [19.1660393682, -96.2166624095], [19.1662521852, -96.2171666648], [19.1667918271, -96.2168206598]]",2025-11-19 14:45:48,Mantenimiento,Esperando asignación,media,,En Ruta,En Ruta
ELAM_LOGISTICS_GDL_JAL,"Avenida Rubén Darío 761, Fracc Prados De Providencia, Guadalajara, Jalisco 44670, Mexico",20.687867,-103.384994,agencia,"[[20.6881222864, -103.385195858], [20.6880997031, -103.384705013], [20.6874849348, -103.384680874], [20.6875050089, -103.385190493], [20.6881222864, -103.385195858]]",2025-11-19 14:45:48,Mantenimiento,Esperando asignación,media,,En Ruta,En Ruta
EMPACADORA_LA_MERCED_ECATEPEC_EDOMEX,"Avenida Central 184, Zona Industrial Esfuerzo Nacional, Ecatepec De Morelos, México 55320, Mexico",19.527824,-99.066424,cliente,"[[19.5276968659, -99.0668792867], [19.5273783467, -99.0659807466], [19.5280254963, -99.0657581233], [19.528323791, -99.0666244768], [19.5276968659, -99.0668792867]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,,,Descargando,En Ruta
EMPAQUES_MODERNOS_EL_SALTO_JAL,"Carretera A San José Del Castillo, Fraccionamiento Los Portales, El Salto, Jalisco 45681, Mexico",20.539167,-103.260423,cliente,"[[20.5384118879, -103.259132033], [20.5372916565, -103.258085971], [20.5362316991, -103.259668475], [20.5393412216, -103.263010507], [20.5412300121, -103.262742286], [20.5419433258, -103.261674767], [20.5405317651, -103.260569697], [20.5391101445, -103.259791856], [20.5384118879, -103.259132033]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
EMPAQUES_MODERNOS_LA_PAZ_LOS_REYES_EDOMEX,"Calle Álvaro Obregón, Ampliación Los Reyes, La Paz, México 56400, Mexico",19.352821,-98.981825,cliente,"[[19.35432562, -98.9818954643], [19.3544803399, -98.9811737618], [19.3518940182, -98.9808411679], [19.351681442, -98.9814312539], [19.3517624235, -98.9818765006], [19.3519952449, -98.981946238], [19.3522989245, -98.9823324761], [19.3526279101, -98.9830352149], [19.35432562, -98.9818954643]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ENDIS_TEXTILES_NAUCALPAN_EDOMEX_,"Av. 5 de Mayo 29, Lomas de San Agustin, 53490 Naucalpan de Juárez, Méx.",19.464275,-99.249049,cliente,"[[19.4642101351, -99.2486039479], [19.4645844149, -99.24906797], [19.4644933739, -99.2490867455], [19.4644377378, -99.2491028388], [19.4643871594, -99.249169894], [19.4643264654, -99.2491806228], [19.4643037051, -99.2491967161], [19.4642632424, -99.2492369492], [19.4641797881, -99.2492798646], [19.4640128792, -99.2491108854], [19.4638965487, -99.2489499528], [19.4642101351, -99.2486039479]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
FABRICA_DE_PLASTICOS_ROMEX_LERMA_EDOMEX,"Avenida José Vicente Villada, Reforma, Lerma, México 52120, Mexico",19.299835,-99.565515,cliente,"[[19.3002640786, -99.5654853208], [19.2993552793, -99.5652010066], [19.2992084533, -99.5655201895], [19.3000818128, -99.5658849699], [19.3002640786, -99.5654853208]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
FARMACIAS_GUADALAJARA_GARCIA_NL,"Monterrey-Villa De García, García, Nuevo León, Mexico",25.778785,-100.56688,cliente,"[[25.7764815815, -100.567712854], [25.7778776295, -100.569874715], [25.7821526223, -100.565770935], [25.7809305214, -100.563330125], [25.7764815815, -100.567712854]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
GENESIS_WELDING_AND_DESIGN_SOLUTIONS_APODACA_NL,"Carretera Mezquital Santa Rosa 8236, Santa Rosa, Apodaca, Nuevo León 66604, Mexico",25.811594,-100.224001,cliente,"[[25.812207523, -100.223124038], [25.8102565147, -100.223580014], [25.8106621726, -100.22540928], [25.81263732, -100.22476555], [25.812207523, -100.223124038]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
GERBER_QUERETARO_QRO,"Calle Epigmenio González, Zona Industrial La Montaña, Querétaro 76150, Mexico",20.608978,-100.407909,cliente,"[[20.608110825, -100.4068124], [20.6079878068, -100.407303244], [20.608181121, -100.407381028], [20.6076965798, -100.409368545], [20.6086882559, -100.409634084], [20.6088388896, -100.409097642], [20.608916717, -100.408818692], [20.6090121183, -100.40886429], [20.6090949667, -100.408671171], [20.6091677729, -100.408553154], [20.6092707056, -100.408529014], [20.6093510434, -100.408309073], [20.6094589971, -100.408228606], [20.6095920563, -100.407877237], [20.6096623516, -100.407635838], [20.6096523095, -100.407391757], [20.6095569086, -100.407155723], [20.6094263599, -100.406780214], [20.6093761489, -100.406514675], [20.6093836805, -100.406348378], [20.608110825, -100.4068124]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
GRS_PUEBLA,"Cerrada Xicohténcatl, Fraccionamiento Villas Aztlán, San Andrés Cholula, Puebla 72810, Mexico",19.05885,-98.289088,cliente,"[[19.0594409657, -98.2890496301], [19.0591925188, -98.2885802435], [19.0580009823, -98.2891327786], [19.0581733753, -98.289626305], [19.0594409657, -98.2890496301]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
GRUPAK_TOLUCA_EDOMEX,"Calle 4 Norte, Parque Industrial Toluca 2000, Toluca, México 50233, Mexico",19.383655,-99.568479,cliente,"[[19.3836344801, -99.5693902482], [19.3838166526, -99.5693795194], [19.3849754672, -99.568489026], [19.3834877299, -99.5666275729], [19.3823795086, -99.5675985326], [19.3836344801, -99.5693902482]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
